study,topic,Topic,pid_3,format,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,category,Estimator,value,Party,Format,lab_outside
1,Death penalty,Death penalty,Democrat,Counterfactual,(Intercept),-0,0.05763904177042349,-0,1,-0.1163202955648797,0.1163202955648797,41.999999999999616,YC,  Diff,More-less,-0,Democrat,Counterfactual,0.00 (0.06)
1,Death penalty,Death penalty,Republican,Change,(Intercept),NA,0.04549326548811747,1.7822655773580138,0.08314216219362872,NA,NA,35.99999999999888,(YC == -1),Less,More-less,0.08108108108108109,Republican,Change,NA
1,Death penalty,Death penalty,Republican,Change,(Intercept),NA,0.07802030664724674,8.660254037844386,2.5015206678875745e-10,NA,NA,35.99999999999888,(YC == 0), Same,More-less,0.6756756756756758,Republican,Change,NA
1,Death penalty,Death penalty,Republican,Change,(Intercept),NA,0.07150679219093489,3.401680257083045,0.0016541006131734462,NA,NA,35.99999999999888,(YC == 1), More,More-less,0.24324324324324326,Republican,Change,NA
1,Death penalty,Death penalty,Republican,Change,(Intercept),0.1621621621621622,0.09098653097623496,1.7822655773580136,0.08314216219362876,-0.022367075480762083,0.34669139980508645,35.99999999999888,YC,  Diff,More-less,0.1621621621621622,Republican,Change,0.16 (0.09)
1,Death penalty,Death penalty,Republican,Change + level,(Intercept),NA,0.04114219418674762,2.068591251901125,0.04423197766023922,NA,NA,45.99999999999854,(YC == -1),Less,More-less,0.08510638297872344,Republican,Change + level,NA
1,Death penalty,Death penalty,Republican,Change + level,(Intercept),NA,0.07084485475872634,9.00979858755096,1.006406913650449e-11,NA,NA,45.99999999999854,(YC == 0), Same,More-less,0.6382978723404256,Republican,Change + level,NA
1,Death penalty,Death penalty,Republican,Change + level,(Intercept),NA,0.0659529705144534,4.193833007419066,1.2355988939785468e-4,NA,NA,45.99999999999854,(YC == 1), More,More-less,0.2765957446808511,Republican,Change + level,NA
1,Death penalty,Death penalty,Republican,Change + level,(Intercept),0.19148936170212766,0.08405923791336553,2.2780287622817075,0.027417489103370697,0.02228689165779285,0.36069183174646247,45.99999999999854,YC,  Diff,More-less,0.19148936170212766,Republican,Change + level,0.19 (0.08)
1,Death penalty,Death penalty,Republican,Counterfactual,(Intercept),NA,0.05588506945068098,2.618614682831909,0.012409581135188882,NA,NA,39.99999999999866,(YC == -1),Less,More-less,0.14634146341463417,Republican,Counterfactual,NA
1,Death penalty,Death penalty,Republican,Counterfactual,(Intercept),NA,0.06789956540036614,11.135528725660043,7.942421531758717e-14,NA,NA,39.99999999999866,(YC == 0), Same,More-less,0.7560975609756099,Republican,Counterfactual,NA
1,Death penalty,Death penalty,Republican,Counterfactual,(Intercept),NA,0.04691557088212524,2.0795009796401454,0.044025001440777346,NA,NA,39.99999999999866,(YC == 1), More,More-less,0.0975609756097561,Republican,Counterfactual,NA
